trial_id,kata,treatment,integrante,loc_total,complexidade_total,complexidade_por_100loc,duplicacao_pct
trial-gabriel-01-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,gabriel,41,9.0,21.95,0.0
trial-gabriel-02-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,gabriel,28,7.0,25.0,0.0
trial-gabriel-03-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,gabriel,42,7.0,16.67,0.0
trial-gabriel-04-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,gabriel,31,20.0,64.52,0.0
trial-gabriel-05-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,gabriel,79,24.99,31.63,0.0
trial-gabriel-06-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,gabriel,26,9.0,34.62,0.0
trial-felipe-01-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,felipe,28,9.0,32.14,0.0
trial-felipe-02-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,felipe,41,9.0,21.95,0.0
trial-felipe-03-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,felipe,31,9.0,29.03,0.0
trial-felipe-04-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,felipe,44,7.0,15.91,0.0
trial-felipe-05-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,felipe,25,9.0,36.0,0.0
trial-felipe-06-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,felipe,65,24.99,38.45,0.0
trial-arthur-01-cofre-de-senhas-sem_ia,cofre-de-senhas,sem_ia,arthur,118,27.0,22.88,0.0
trial-arthur-03-etiquetas-de-preco-sem_ia,etiquetas-de-preco,sem_ia,arthur,46,9.0,19.57,0.0
trial-arthur-05-estoque-do-deposito-sem_ia,estoque-do-deposito,sem_ia,arthur,42,8.0,19.05,0.0
trial-arthur-02-elevador-do-predio-com_ia,elevador-do-predio,com_ia,arthur,24,8.0,33.33,0.0
trial-arthur-04-fila-do-caixa-com_ia,fila-do-caixa,com_ia,arthur,27,6.0,22.22,0.0
trial-arthur-06-blocos-aninhados-com_ia,blocos-aninhados,com_ia,arthur,28,19.0,67.86,0.0
