trial_id,kata,treatment,integrante,loc_total,violacoes_total,violacoes_por_kloc
trial-gabriel-01-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,gabriel,41,7,170.73
trial-gabriel-02-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,gabriel,28,8,285.71
trial-gabriel-03-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,gabriel,42,12,285.71
trial-gabriel-04-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,gabriel,31,12,387.1
trial-gabriel-05-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,gabriel,79,15,189.87
trial-gabriel-06-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,gabriel,26,5,192.31
trial-felipe-01-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,felipe,28,6,214.29
trial-felipe-02-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,felipe,41,9,219.51
trial-felipe-03-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,felipe,31,7,225.81
trial-felipe-04-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,felipe,44,12,272.73
trial-felipe-05-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,felipe,25,9,360.0
trial-felipe-06-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,felipe,65,21,323.08
trial-arthur-01-cofre-de-senhas-sem_ia,cofre-de-senhas,sem_ia,arthur,118,19,161.02
trial-arthur-03-etiquetas-de-preco-sem_ia,etiquetas-de-preco,sem_ia,arthur,46,6,130.43
trial-arthur-05-estoque-do-deposito-sem_ia,estoque-do-deposito,sem_ia,arthur,42,16,380.95
trial-arthur-02-elevador-do-predio-com_ia,elevador-do-predio,com_ia,arthur,24,6,250.0
trial-arthur-04-fila-do-caixa-com_ia,fila-do-caixa,com_ia,arthur,27,8,296.3
trial-arthur-06-blocos-aninhados-com_ia,blocos-aninhados,com_ia,arthur,28,10,357.14
