timestamp,trial_id,kata,treatment,integrante,timebox_min,tempo_seg,status,testes_total,testes_passando,testes_falhando,taxa_sucesso_pct
2026-09-14T20:14:01+00:00,trial-gabriel-01-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,gabriel,35.0,425.9,sucesso,7,7,0,100.0
2026-09-15T01:54:33+00:00,trial-gabriel-02-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,gabriel,35.0,713.1,sucesso,6,6,0,100.0
2026-09-15T18:35:48+00:00,trial-gabriel-03-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,gabriel,35.0,381.0,sucesso,8,8,0,100.0
2026-09-15T19:55:57+00:00,trial-gabriel-04-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,gabriel,35.0,1506.6,sucesso,8,8,0,100.0
2026-09-16T02:38:03+00:00,trial-gabriel-05-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,gabriel,35.0,501.0,sucesso,12,12,0,100.0
2026-09-16T18:49:55+00:00,trial-gabriel-06-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,gabriel,35.0,861.9,sucesso,8,8,0,100.0
2026-09-16T20:54:01+00:00,trial-felipe-01-elevador-do-predio-sem_ia,elevador-do-predio,sem_ia,felipe,35.0,1414.8,sucesso,8,8,0,100.0
2026-09-16T21:05:49+00:00,trial-felipe-02-etiquetas-de-preco-com_ia,etiquetas-de-preco,com_ia,felipe,35.0,204.0,sucesso,7,7,0,100.0
2026-09-16T21:32:57+00:00,trial-felipe-03-fila-do-caixa-sem_ia,fila-do-caixa,sem_ia,felipe,35.0,1210.5,sucesso,6,6,0,100.0
2026-09-16T21:38:02+00:00,trial-felipe-04-estoque-do-deposito-com_ia,estoque-do-deposito,com_ia,felipe,35.0,206.5,sucesso,8,8,0,100.0
2026-09-16T22:11:35+00:00,trial-felipe-05-blocos-aninhados-sem_ia,blocos-aninhados,sem_ia,felipe,35.0,1202.0,sucesso,8,8,0,100.0
2026-09-16T22:23:20+00:00,trial-felipe-06-cofre-de-senhas-com_ia,cofre-de-senhas,com_ia,felipe,35.0,287.2,sucesso,12,12,0,100.0
2026-09-16T22:25:45+00:00,trial-arthur-01-cofre-de-senhas-sem_ia,cofre-de-senhas,sem_ia,arthur,35.0,636.3,sucesso,12,12,0,100.0
2026-09-16T22:40:02+00:00,trial-arthur-03-etiquetas-de-preco-sem_ia,etiquetas-de-preco,sem_ia,arthur,35.0,386.6,sucesso,7,7,0,100.0
2026-09-16T22:49:53+00:00,trial-arthur-05-estoque-do-deposito-sem_ia,estoque-do-deposito,sem_ia,arthur,35.0,270.9,sucesso,8,8,0,100.0
2026-09-16T23:01:43+00:00,trial-arthur-02-elevador-do-predio-com_ia,elevador-do-predio,com_ia,arthur,35.0,99.0,sucesso,8,8,0,100.0
2026-09-16T23:07:09+00:00,trial-arthur-04-fila-do-caixa-com_ia,fila-do-caixa,com_ia,arthur,35.0,175.7,sucesso,6,6,0,100.0
